,popular
36121,1
44412,1
101700,1
46972,0
5131,1
12458,0
25435,0
14279,0
55545,1
81409,1
9969,1
32952,1
104073,0
65799,1
51467,1
19385,0
108937,0
55901,1
93930,0
96394,1
1508,0
72478,1
35293,1
41677,0
105537,1
25618,0
48743,0
13725,0
99819,1
97825,1
93907,0
50746,0
61255,1
616,1
10642,0
24781,0
11054,1
81118,1
97973,1
50405,0
5314,1
70246,1
4536,1
5342,1
52621,0
26395,0
41824,0
30206,1
11671,1
74484,1
73927,0
5578,1
42863,0
47795,1
66098,0
41822,0
69356,0
13339,0
76482,0
108391,0
12298,0
12407,1
108590,0
52689,0
79935,1
101705,1
39759,1
55197,1
12489,0
65149,1
11469,1
51234,1
52456,0
97122,1
92999,0
49804,0
37351,1
76443,0
105057,1
107739,0
13810,0
91065,1
108150,0
109268,1
112027,1
33638,1
27795,0
98917,0
45619,0
84919,0
86002,1
92506,0
28273,1
101200,1
14946,0
39903,1
14046,0
87742,1
77045,1
105164,1
95160,0
24511,0
46614,0
93967,0
29763,0
75848,0
74111,1
6914,0
84609,1
19044,0
47736,1
74553,1
7246,0
18541,0
38520,0
14947,0
93839,0
72571,1
83361,1
13857,0
104120,1
99566,1
69685,0
5312,1
90460,0
94055,1
33604,1
34935,1
50171,0
14935,0
8455,1
17830,0
74381,1
70700,1
48817,0
72398,0
19601,1
26133,0
26559,0
99805,0
17836,0
18703,0
77276,1
84698,0
65466,1
22780,0
45333,0
112981,1
2032,0
48810,0
40843,1
43769,1
34997,1
70656,1
10923,0
97718,1
41054,1
65292,1
34838,1
112906,1
104840,0
69770,0
6609,0
112580,1
8809,1
38837,0
92642,0
36633,0
35517,1
41879,0
97553,1
50314,1
38610,1
46653,0
45546,0
41788,0
101352,1
96346,1
113002,1
12750,1
63393,1
23690,1
11945,1
111479,1
33942,0
35223,1
70462,1
37464,1
104609,0
54015,0
27124,1
65759,1
72670,1
20713,0
13826,0
70948,0
23199,0
47356,1
108900,0
16740,0
82238,0
97354,1
82716,0
43488,0
51828,0
54299,0
99109,1
26069,0
66393,0
8555,1
67936,0
63827,0
9031,1
96712,1
73247,0
65306,1
79002,1
97724,1
104620,0
38560,1
107312,1
108161,0
66309,0
108742,0
37774,1
79063,1
74982,1
23267,1
41276,0
47937,1
30973,1
6018,1
76205,1
27979,0
113631,0
1431,0
62124,1
13082,0
15143,1
25180,0
11964,1
75485,0
80043,1
50567,0
25970,0
104859,1
113894,1
6691,0
50417,0
34179,1
19671,0
33406,1
18433,0
11840,0
106222,1
50142,0
101630,1
6944,0
8660,1
44165,1
13654,0
33341,1
897,0
33975,0
46188,0
7099,0
96430,1
6013,1
113365,1
9522,1
25731,0
16061,0
97260,1
7241,0
8618,1
54770,0
20140,0
35434,1
532,1
97678,1
10059,0
16991,0
112995,1
47897,1
17289,0
27221,0
19171,0
14135,0
36504,1
37776,1
143,0
12879,0
82818,0
80567,1
28485,1
34475,1
113997,0
44307,1
5102,1
40405,1
45583,0
111127,1
112272,1
543,0
82233,0
51704,1
109430,1
12007,1
16287,0
112627,1
95998,0
99161,1
112212,1
108800,0
63682,0
24027,0
10849,0
7325,0
15739,0
76318,0
110874,0
58487,0
92814,0
17446,0
35024,1
32322,1
4354,1
61727,0
6043,0
96780,1
9242,1
41471,0
8589,1
12118,1
66595,0
12023,1
62902,1
58525,0
44813,1
77747,1
2391,0
24651,0
35145,1
27782,0
112573,1
27305,1
112867,1
17860,0
103990,1
80838,1
776,1
8381,0
61733,0
36007,1
23413,1
13522,0
104375,0
62409,1
83239,1
84458,1
99018,1
39143,0
58764,1
62291,0
18183,0
15606,1
52847,0
41138,0
104583,0
39927,1
104729,0
93555,0
22877,0
74552,1
27459,1
106804,1
101921,0
26593,0
63785,0
67501,0
48458,1
7389,0
65818,1
13310,0
30565,1
10389,0
113587,0
37922,1
69865,0
659,0
68680,1
58361,1
16981,0
111729,0
35203,1
46907,0
55172,1
96928,1
20898,0
10313,0
28518,1
87349,1
38462,1
97454,1
4385,1
77749,1
39869,1
29785,1
10396,0
44612,1
48877,0
111157,1
20488,0
63868,0
101871,0
5506,1
17760,1
50351,1
51026,1
94138,1
18229,0
111929,0
79872,1
22097,0
42746,0
54208,1
63425,1
44660,1
60398,0
13496,0
50853,0
62779,1
327,1
59382,0
49112,1
96635,1
67750,1
4201,1
22583,0
35668,1
35101,1
110235,1
2172,0
39711,1
82759,0
56242,1
14224,1
67877,0
9661,1
107837,0
59686,0
109924,0
62533,1
15949,1
60401,1
47275,1
70143,1
32347,1
45770,0
36897,0
81672,1
4839,1
47619,1
104257,1
25517,0
12389,0
63578,0
62537,1
41681,0
54505,0
68822,1
65662,1
57341,1
58901,1
70488,1
44107,1
9552,1
65791,1
95388,0
28312,1
25489,0
13244,0
17066,1
19698,0
94624,1
40936,1
79361,1
73755,1
33259,1
42478,0
12082,1
54450,0
17614,1
10491,0
31306,1
62474,1
6611,1
27990,0
1075,0
2086,0
50663,0
90807,0
110079,1
25373,1
11382,0
10169,0
1013,1
62923,1
24340,0
7939,0
79423,1
24885,0
47346,0
93367,0
7975,0
73264,1
49719,0
101300,1
2057,1
36080,1
50999,0
36817,0
51067,1
91604,1
77170,1
93217,0
88958,1
37060,0
75167,1
54952,0
23789,1
10697,0
42086,0
36005,1
2720,1
66477,0
11426,1
96264,1
101858,1
79415,1
20908,1
21176,1
4095,0
10504,0
105466,0
21785,0
101347,1
72220,0
7275,0
54609,0
35622,1
95577,0
77638,1
54279,0
35125,1
109230,1
7485,0
24082,0
26704,1
105620,0
113187,1
17005,1
37078,0
86622,1
12488,1
41282,0
75120,1
41744,0
87986,1
66268,0
58679,0
78219,0
69544,0
45892,0
63974,0
9765,1
92966,1
69157,1
23384,1
75264,1
1999,0
14578,0
99186,1
106919,1
7126,0
10182,0
50147,0
9910,1
9037,1
73917,0
21814,1
96310,1
79569,1
28580,1
56817,1
27731,0
101659,1
54989,0
16618,0
113949,0
80196,1
65650,1
35711,1
60560,0
27264,0
83474,1
43940,0
17210,1
61557,0
70571,1
93136,0
20406,1
41043,1
61300,1
12054,1
36536,0
61136,0
50253,0
16707,0
105982,0
27761,0
91820,0
2536,1
26858,1
77349,1
46190,0
5873,1
5420,1
15828,1
104543,0
76686,0
46399,0
24880,0
108675,0
52884,0
3101,1
19053,0
95523,0
72339,1
39809,1
52133,0
95572,0
46697,0
72113,1
45930,0
1107,0
97109,1
32972,1
50644,0
59072,0
32214,1
56983,1
113230,1
52089,0
10589,0
108644,0
73666,0
4880,1
54285,0
82423,0
81241,0
70087,1
98406,0
17689,0
90620,0
98867,0
113901,0
56938,0
25743,0
72180,1
41296,0
25593,0
24115,0
80351,1
82063,1
73068,0
70435,1
16279,0
33797,1
94917,1
97784,1
26245,0
65755,1
16214,0
11815,1
92654,0
105325,0
111705,1
58735,0
93534,0
51520,0
36344,0
81150,1
95849,0
110904,1
5972,1
50739,0
73961,1
37546,1
30829,1
79813,1
48469,0
6584,0
12631,1
54697,0
104621,0
65003,1
111513,1
7542,0
14617,1
1983,0
50759,0
10547,0
26833,0
17113,1
23761,1
50670,0
38467,1
33563,1
76173,0
32602,1
78721,0
80263,1
69519,0
70062,1
110202,1
60257,1
113836,1
59354,0
31100,1
69485,0
107583,0
21717,0
83511,1
56252,1
54336,0
65713,1
13005,1
78596,0
69633,0
76264,0
41294,0
39343,0
47729,1
11312,0
59862,0
50061,0
50577,0
34998,1
51303,1
82981,0
32170,1
81207,1
47823,1
16036,0
66512,0
59090,0
24384,0
11386,0
36434,1
113542,1
62735,0
10312,0
104202,1
91870,0
6229,0
32807,1
47250,1
90175,1
105417,0
96742,1
13269,0
84985,0
14931,0
17849,0
8724,1
58572,0
107807,0
69288,0
23680,1
62286,1
42872,0
6950,1
31348,0
70581,1
32491,1
61575,0
112420,1
4848,1
109016,1
100599,1
95688,0
30983,1
23757,1
33783,1
22612,0
7025,1
24947,0
9044,0
29796,1
10817,0
72223,1
17612,0
31514,1
101926,0
58231,1
46183,0
113941,1
23344,0
92852,1
95275,0
94316,1
16713,0
11848,0
32539,1
112269,1
72412,0
78435,0
75671,0
11663,1
4487,1
59878,0
47861,1
76169,1
43737,0
28671,1
34608,1
4057,1
14418,1
63911,1
24915,0
59930,0
45745,0
20522,0
55472,1
9891,1
75927,0
65932,1
55898,1
77604,1
18957,0
84730,0
16407,1
112464,1
10825,0
6476,0
9103,1
24717,0
999,0
85357,1
21605,1
12119,1
84010,0
27967,1
58279,0
40577,1
79707,0
5218,1
93742,0
98747,0
40502,1
35573,1
69030,1
42184,0
42527,0
28731,1
79808,1
76350,1
52253,0
6354,0
42501,0
23969,1
11553,1
67067,0
16352,1
7829,0
86468,1
100754,1
43792,0
48950,0
36123,1
65339,1
74650,1
105247,0
3977,0
12753,1
41217,0
95344,0
78611,0
9934,1
43831,1
75486,0
37817,1
52543,0
90637,0
24516,0
3814,1
108476,0
6483,0
77290,1
48652,1
109431,1
39983,1
45827,0
52882,0
32542,1
108998,0
40392,1
94999,1
36681,0
27120,1
74355,1
33606,1
34204,1
67664,0
98887,0
44303,1
77210,1
22955,0
80912,1
43335,0
112831,1
95514,0
82559,0
34415,1
28856,1
108142,0
56057,1
113681,1
113586,1
50438,0
62730,1
90239,1
18779,0
14716,1
5356,1
51083,1
1457,0
61567,0
11627,1
19325,0
83901,1
21755,1
32071,1
108002,1
42221,0
52810,1
111077,1
6986,0
85188,1
20551,1
16432,0
54448,0
109110,1
83766,0
46665,0
63627,1
29751,1
75236,0
4109,1
65703,1
12365,1
34534,0
83777,1
16064,0
111415,1
28458,1
69169,1
208,1
105083,1
42194,0
6356,0
95764,0
45722,0
95695,0
95014,0
4079,1
75310,1
9854,1
12460,0
12041,0
4100,1
87668,1
108124,0
72945,0
84315,1
58544,0
80519,1
27506,0
42650,0
27885,0
49716,0
39419,0
62337,1
103004,1
109481,1
77930,1
100650,0
66727,0
35433,1
55483,1
24949,0
101122,0
94310,1
81619,1
107375,1
64920,1
65152,1
98197,0
97821,1
93526,0
76884,0
840,0
5084,1
970,1
66878,0
15965,1
20018,1
45746,0
24419,0
80898,1
19675,1
60717,0
12045,0
24541,0
4310,1
49031,0
7793,0
58360,0
45022,1
50319,0
6342,0
60515,0
70265,1
104149,0
108180,0
4327,1
93682,0
26731,0
1495,0
12792,0
13252,1
27346,0
30687,1
50592,0
42394,0
42558,0
7708,0
24591,0
108064,0
19808,1
957,1
86256,1
87707,1
101937,0
61561,0
81460,1
74961,1
20749,0
109102,1
32556,1
48739,0
42504,0
32419,1
32710,1
67246,0
1512,0
14201,0
106473,1
35397,1
34314,1
22447,0
9724,1
66665,0
46915,0
107422,0
12289,1
12253,1
97815,1
12864,0
27492,0
10751,0
113621,1
7232,0
95462,0
2978,1
9977,1
72427,0
59532,0
52400,1
77295,1
78414,0
18482,0
108637,0
111877,1
87048,1
2678,1
59743,0
58167,1
31747,0
22099,0
32468,0
70154,1
67389,0
89929,1
53909,1
113280,1
4350,1
104761,1
61544,0
70701,1
44941,0
75178,0
52100,1
86982,1
95537,0
41694,0
49860,0
13454,0
50311,1
35406,1
85565,1
16321,1
17792,1
18394,0
47734,1
40412,1
72782,0
112541,1
16585,1
55923,1
57998,1
21178,1
21207,1
1158,0
309,1
8609,1
27541,0
9908,1
92859,1
61041,0
92752,1
86825,1
42916,0
22553,1
49122,0
63395,1
19376,0
22076,0
74864,1
3972,1
74738,1
39660,1
105235,1
79997,0
508,1
51370,1
95568,0
40254,1
76251,1
41563,0
46951,0
101943,0
98457,0
5480,1
1981,0
28402,1
32353,0
4825,0
25741,0
13545,0
47710,1
5074,1
14530,1
94601,0
73052,0
39360,1
1638,0
26819,0
73968,1
23575,1
70512,1
111309,1
75426,1
105630,0
101914,0
7426,0
19938,1
79818,1
113943,0
1265,0
74677,1
25780,0
82912,0
41632,1
47660,1
42215,0
58842,0
101275,1
66008,1
85451,1
5906,1
65508,1
11789,0
85599,1
75656,1
24617,0
85498,1
76295,0
105747,0
50883,0
83503,1
61428,0
104735,1
47977,1
17524,0
62889,1
35181,1
10250,1
85265,1
1702,1
59377,0
77691,1
107389,1
64444,0
34372,1
94364,1
80857,1
12073,1
77722,1
12742,1
60838,0
108392,0
76091,0
15908,1
44440,1
104634,0
54782,0
50493,0
58392,0
39923,1
110838,0
16596,0
64543,0
1704,1
25620,0
59578,0
55649,1
35314,1
12977,1
3516,0
98694,0
5740,1
113435,1
84805,1
70884,0
31673,1
101324,1
65634,1
27662,0
37548,1
76235,0
55409,1
49944,0
69127,1
51787,1
33106,1
112834,1
49613,1
103681,0
59858,0
41085,0
18542,0
14453,1
112924,1
43787,0
6107,0
24284,0
11417,1
90739,0
105599,0
19039,0
28945,0
65565,1
2145,0
9065,1
57472,0
108831,0
113707,1
42617,0
13473,0
1482,0
113718,1
11042,0
82443,0
108895,0
83350,1
61825,0
67591,0
104409,1
84868,0
22066,1
108197,0
88718,1
2597,0
26357,0
33996,0
40475,1
111224,1
50308,0
107199,0
6992,0
25498,0
103945,0
38648,0
44503,1
44762,1
52195,0
11044,0
93465,0
60258,0
60395,0
55164,1
27681,0
87829,1
100512,0
33519,1
516,0
41349,0
38901,1
39600,1
52071,1
90413,0
59161,0
20474,0
73302,1
42628,0
41327,0
54726,0
49883,0
54494,0
68652,1
83881,1
79564,0
21393,1
1534,0
85470,1
28646,0
51409,1
104392,1
22165,1
35969,1
96807,1
76780,0
73737,0
79695,1
28225,1
82154,1
20303,1
80785,1
107239,1
50940,0
24742,0
12349,0
76400,1
32522,1
80641,1
104785,1
106346,1
11888,0
10856,0
7710,1
106225,1
979,1
27041,0
100857,0
50428,0
103868,1
41862,0
6283,0
49279,0
44971,1
9620,1
14513,0
56832,0
111058,0
43008,1
92607,0
79281,1
38407,1
28656,1
43610,1
18247,0
17576,0
85440,1
18410,0
75823,0
28770,1
62633,1
61929,0
95988,0
75860,0
97028,1
28438,0
111371,0
38997,0
75842,0
73800,1
19550,1
48413,0
77775,1
38984,1
83269,0
75410,0
93728,0
42629,0
41883,0
23515,1
15577,1
83231,1
19476,0
45268,0
17549,1
68810,1
66743,0
51516,1
83934,1
32330,1
49330,0
105095,1
33191,1
104896,0
103889,0
9725,1
10666,0
19838,1
73840,0
82111,1
49413,0
523,1
52249,0
113953,1
113466,1
101566,1
51816,1
28668,1
5825,1
70556,1
6948,0
50483,0
104741,0
75187,0
110777,0
33365,1
62975,1
30755,1
38060,1
52538,0
98763,0
106751,1
98595,0
2520,1
5866,1
10214,0
22594,0
111656,1
24503,0
70500,1
5599,1
38597,0
108196,0
112368,1
65942,1
76461,0
7633,0
13685,0
61474,0
103151,1
98002,1
5738,1
28819,1
80564,0
17229,1
111774,0
16697,0
96268,1
7545,0
47624,1
7125,0
11277,0
48534,0
12503,0
54532,0
47407,0
65314,1
21516,0
97943,1
23895,0
8753,1
11640,1
10777,0
21697,0
70774,1
5647,1
101542,1
18872,0
503,1
83785,1
6785,0
68774,1
41856,0
27436,0
22601,1
95753,0
79832,0
11869,1
8867,1
67516,0
104739,0
1984,1
42405,0
113863,1
72724,0
54920,0
32825,1
54999,0
68821,1
50583,0
104133,0
24703,0
63920,0
109777,0
27028,0
46695,0
95929,0
69650,0
36823,0
144,0
21709,1
113720,0
66438,0
104263,1
72101,0
78480,0
67217,0
113272,1
103902,1
73299,0
56843,0
70616,1
60425,0
13100,0
560,1
12221,0
1430,0
51695,1
78616,0
78007,0
5978,1
106073,1
25597,0
90584,0
67164,0
97192,1
4211,1
66092,0
78030,0
108840,0
99705,1
54626,0
22777,0
51772,1
41162,0
98754,0
28382,1
6749,0
7893,0
11838,1
67821,0
112002,1
9698,1
48170,0
17095,0
2703,1
22230,1
108422,0
1020,1
46432,0
35167,1
73833,1
61914,0
49062,1
59186,0
27247,0
34322,1
73564,1
59554,0
44909,1
15834,1
52376,0
38089,1
22781,0
45359,1
111227,1
52316,0
84495,0
20717,1
100685,0
80016,1
105532,0
21407,1
15637,0
36757,0
37219,1
23839,1
84508,1
45670,0
13529,0
108321,0
20425,1
34013,1
54955,0
104504,1
110483,0
12396,1
80528,1
95104,1
82391,0
30792,0
11083,0
8435,1
22906,0
113645,1
107280,0
97721,1
58403,1
98115,0
107738,0
95351,0
38372,0
4916,1
36450,1
18971,0
76184,1
108059,0
86615,1
25487,0
22809,0
54948,0
59375,0
2212,0
90814,0
111134,1
78421,0
62789,1
2641,0
21228,1
6541,0
46125,0
95857,0
10246,0
28317,1
21174,1
39857,1
20185,0
80139,1
47929,1
83711,1
93062,0
37834,1
36846,0
96755,1
99474,1
47050,1
95050,1
104441,0
105525,1
1504,1
6829,0
15144,1
79102,1
40553,1
7465,1
73489,0
35632,1
76532,0
12224,1
21892,0
52356,0
25518,1
100400,1
80742,1
1461,0
31959,1
24170,0
82405,0
23532,1
63914,0
33630,0
65046,1
56727,0
15867,1
31230,0
7031,1
94840,1
20811,1
104886,0
105853,0
350,1
6176,0
43971,1
21759,1
75531,0
27387,0
112797,1
4130,1
74438,1
28029,1
98749,0
17819,1
48308,1
11475,1
79668,1
33955,1
51137,1
69383,0
52296,0
40880,1
52304,0
90385,0
77857,1
6831,0
4017,1
98978,0
67600,1
82021,0
113877,0
28658,1
76563,0
61895,0
34120,1
52705,1
64464,0
28209,1
107996,0
111374,1
12695,1
18636,0
106217,1
31007,1
108361,0
34583,1
67995,0
82676,0
101161,0
23125,1
34981,1
1522,0
90815,0
32856,0
70618,1
82877,0
68791,1
44386,1
11874,1
34409,1
5907,1
22265,1
692,0
101087,0
52383,0
94070,1
104083,0
101585,1
32845,0
65534,1
36140,1
105503,0
55293,1
54582,0
18775,0
57814,1
68926,1
46829,0
48623,0
50038,1
62927,1
31050,1
8905,1
22735,0
27989,0
16433,0
49134,0
12136,1
24160,0
112103,1
87929,1
56403,1
22866,1
11468,1
79757,1
19655,0
19362,0
58613,0
98660,0
48291,1
8155,0
32368,1
59178,0
55887,1
7328,0
2385,1
58876,0
75683,0
77049,1
112057,1
94275,1
105807,0
98317,0
77128,1
92831,0
52945,0
82247,0
38927,0
46747,0
93683,0
7127,0
67481,0
101364,1
97539,1
19478,0
101211,0
32978,1
61236,0
26839,0
4948,0
15672,1
4101,0
82924,0
2670,0
73827,1
4783,1
111548,0
5630,1
65225,1
2876,1
33566,1
101247,1
40715,1
76965,0
112465,1
74699,1
63298,1
69423,0
34946,1
69959,0
62293,0
83310,1
34693,0
76325,0
90655,1
80081,1
23939,0
44826,1
50939,0
77962,1
61982,0
72153,1
46879,0
912,1
17865,1
75207,1
69937,0
113809,1
29904,0
52535,0
11961,1
43791,0
97800,1
5471,1
95319,0
111764,1
72475,1
70792,0
55494,1
10969,0
108179,0
77171,1
86108,1
9010,1
55463,1
10935,0
11780,1
100237,1
2877,1
104478,0
5850,1
43800,1
80913,1
100769,0
34956,0
36059,1
18318,0
18100,1
35362,1
18274,0
90646,0
101671,1
10245,0
10964,0
47778,1
33932,0
104527,0
8332,0
58766,0
18137,0
6938,0
60966,0
24719,0
108983,0
74701,1
52332,0
66233,0
12953,1
47629,1
95954,0
106127,1
30450,1
39739,1
27938,0
105328,1
25952,1
23474,1
45734,0
97375,1
83315,1
80438,1
24656,0
71254,1
41923,0
69293,0
4609,1
48888,0
96006,1
1238,0
84238,1
20880,0
32721,1
19519,0
101571,1
2178,0
74517,1
27572,0
59087,0
90675,0
95841,0
16366,0
106749,1
78719,0
75524,0
29987,1
16226,0
107653,1
46745,0
41595,0
48349,0
9613,1
113829,0
110312,1
96019,1
73824,0
7580,0
23675,1
100271,1
10361,0
108760,0
62432,1
59435,0
112919,1
94100,1
26953,1
46168,0
74065,1
9903,1
79420,1
101220,1
59689,0
19326,0
101699,0
93808,0
19810,1
50686,0
16044,0
60937,0
22515,0
26437,0
95330,0
108767,0
98949,0
5983,0
41354,0
108821,0
10627,0
749,0
14080,1
59352,0
42041,0
41152,1
13618,0
60392,0
63959,0
75504,1
9815,1
105969,0
23165,1
26780,0
21895,0
113503,1
17714,0
10157,1
7124,0
55915,1
22502,1
37840,1
45887,0
52628,0
107041,0
54288,0
22046,0
113590,0
93004,0
62917,1
48874,0
35128,1
105672,0
7658,0
25203,0
107612,1
50599,0
74032,1
96364,1
107838,0
48681,0
36448,0
17768,1
75100,1
55608,1
27054,0
100974,0
14581,1
97117,1
5059,1
21356,1
12124,1
5665,1
82788,0
69199,1
76242,0
77954,1
55281,1
69627,0
45036,1
76447,0
24057,1
66702,0
8742,1
46106,0
43796,0
39638,1
711,1
8695,1
103459,1
18969,0
112340,1
5563,1
52838,0
23306,1
6734,0
113065,1
105177,1
25044,0
46922,0
22475,0
41489,0
2488,0
112389,1
95805,0
68954,1
18151,1
62444,1
2910,1
47849,1
82949,0
110996,0
82979,0
74018,1
35472,1
111170,1
95877,0
30430,1
107270,0
86315,1
81825,1
22985,0
95730,0
34901,0
12729,1
112928,1
35124,1
73281,1
41806,1
40838,1
21589,0
21958,1
7381,0
112723,1
65130,1
23122,1
82679,0
66914,0
1374,0
52413,0
10386,0
65788,1
108013,0
17786,0
16711,0
12436,1
59551,0
103710,1
54719,0
45652,1
96778,1
66554,0
24023,0
68831,1
84886,1
14560,1
82619,0
49143,0
44296,1
23836,1
94511,1
2263,0
66368,0
21583,0
12030,1
52981,0
24810,0
52122,0
106165,1
12367,1
85413,1
10387,0
20289,0
100892,0
43753,1
82472,0
55220,1
86848,1
54670,0
78310,0
41207,1
27799,0
78499,0
11804,1
12795,0
22686,0
61233,0
50548,0
104505,1
66168,0
63487,1
11618,1
56599,0
23603,1
42338,0
70613,1
76152,1
113353,1
103260,1
100866,0
85453,1
45591,0
23241,1
22182,0
82941,0
33925,1
6123,1
111467,1
83506,1
11242,0
28852,0
3856,1
75940,0
34176,1
12902,1
92953,0
65969,1
5381,1
44398,0
76551,1
80503,1
23583,1
13103,1
90510,0
43029,1
44241,1
96698,1
4645,0
48635,0
50279,0
28919,1
93724,0
2373,0
70370,1
32337,0
36409,1
66081,0
72429,0
78970,0
21694,0
12583,1
45124,0
15624,1
80436,1
21632,0
45672,0
14596,0
41334,0
69340,0
35948,1
60516,0
95413,0
23187,1
36855,1
1620,0
9880,1
95186,0
83458,1
23198,0
6000,1
36417,1
21505,1
113545,1
46192,0
49439,0
94361,1
73501,0
45566,1
11318,0
78694,0
16541,0
75747,0
109594,0
32474,1
11282,1
7855,1
74613,1
93279,0
52815,0
26106,1
49166,0
73742,0
55414,1
15265,1
15576,1
2411,1
69283,0
7062,0
87674,1
96784,1
48504,1
49720,0
108931,0
1909,0
36503,1
11006,1
59837,0
41828,0
105067,1
24083,0
34524,1
60630,0
76103,1
111904,0
19806,1
55210,1
43652,1
2425,0
23739,1
52250,1
71970,1
24484,0
26681,0
8605,1
32886,1
42832,0
108694,0
23387,1
22229,1
259,1
38807,0
13296,0
85431,1
67471,0
37577,1
12234,0
76851,1
82643,0
23092,1
113204,1
62586,1
48651,1
79524,1
49651,1
16463,0
72549,0
27960,0
105828,0
58519,0
73797,0
25534,0
80141,1
23635,1
15311,1
104353,1
44773,1
47556,1
31614,1
39977,1
103000,1
85841,1
46679,0
112874,1
72873,0
39731,1
5996,0
16954,0
23809,1
20401,1
6307,0
38674,0
34701,0
75741,0
113327,1
72748,0
44614,1
23208,1
84953,1
98649,0
107367,1
95403,0
108058,0
99704,1
74675,1
93561,0
12776,0
96491,1
85415,1
38328,1
87561,1
24609,0
82715,0
54072,0
65052,1
67430,0
48687,0
64627,0
58411,1
77358,1
67911,0
80417,1
113668,1
107156,1
18753,0
83672,1
101477,1
39164,1
8421,1
48852,0
8578,1
12198,1
105956,0
46024,0
51369,1
13517,0
40590,1
90119,1
248,0
2111,1
5957,1
47697,1
107894,0
43623,1
47210,1
100776,1
77234,1
4142,0
6689,0
93288,0
54381,0
87584,1
90806,1
50738,0
109624,1
84907,1
28215,1
73064,0
22063,1
59043,0
23207,1
36635,0
51753,1
10696,0
6438,0
69707,0
27842,0
1278,0
54087,0
109707,1
35034,1
113965,0
26378,0
40472,1
108325,0
45907,1
6502,0
93705,0
30586,1
15730,1
93461,0
80922,1
82416,0
60330,0
16349,0
73466,0
104633,0
51055,1
49703,1
104538,0
9431,1
25316,1
80354,1
45177,0
96658,1
19924,1
40727,1
38155,1
87020,0
69772,1
27417,0
52952,0
61487,0
68603,1
66507,0
97041,1
14890,0
46790,0
100589,1
23310,1
108012,0
92952,1
16821,0
79467,1
5415,1
31900,1
104838,0
66171,0
7409,0
97601,1
6453,0
9561,1
22691,0
2858,1
32527,1
52361,0
109905,0
89935,1
105404,0
4979,1
69793,0
57096,1
105899,0
103976,1
101990,0
23759,1
23521,1
59588,0
12964,0
80980,1
36971,0
22644,0
95888,0
74061,1
85980,1
101314,1
41412,0
97827,1
44275,1
42624,0
41110,1
91121,0
