,track_genre
8660,blues
44165,grunge
13654,chicago-house
33341,emo
897,acoustic
33975,emo
46188,happy
7099,bluegrass
96430,samba
6013,black-metal
113365,world-music
9522,brazil
25731,disco
16061,classical
97260,sertanejo
7241,bluegrass
8618,blues
54770,idm
20140,dance
35434,forro
532,acoustic
97678,sertanejo
10059,breakbeat
16991,classical
112995,turkish
47897,hard-rock
17289,club
27221,drum-and-bass
19171,country
14135,children
36504,french
37776,funk
143,acoustic
12879,cantopop
82818,power-pop
80567,pop-film
28485,dub
34475,folk
113997,world-music
44307,grunge
5102,anime
40405,gospel
45583,guitar
111127,trip-hop
112272,turkish
543,acoustic
82233,power-pop
51704,hip-hop
109430,techno
12007,cantopop
16287,classical
112627,turkish
95998,salsa
99161,singer-songwriter
112212,turkish
108800,tango
63682,j-rock
24027,detroit-techno
10849,breakbeat
7325,bluegrass
15739,chill
76318,opera
110874,trance
58487,industrial
92814,rockabilly
17446,club
35024,forro
32322,electronic
4354,ambient
61727,j-idol
6043,black-metal
96780,samba
9242,brazil
41471,goth
8589,blues
12118,cantopop
66595,kids
12023,cantopop
62902,j-pop
58525,industrial
44813,grunge
77747,pagode
2391,alt-rock
24651,detroit-techno
35145,forro
27782,drum-and-bass
112573,turkish
27305,drum-and-bass
112867,turkish
17860,club
103990,soul
80838,pop-film
776,acoustic
8381,blues
61733,j-idol
36007,french
23413,deep-house
13522,chicago-house
104375,spanish
62409,j-pop
83239,progressive-house
84458,psych-rock
99018,singer-songwriter
39143,german
58764,industrial
62291,j-pop
18183,comedy
15606,chill
52847,honky-tonk
41138,goth
104583,spanish
39927,german
104729,spanish
93555,romance
22877,death-metal
74552,mpb
27459,drum-and-bass
106804,swedish
101921,sleep
26593,disney
63785,j-rock
67501,latin
48458,hardcore
7389,bluegrass
65818,k-pop
13310,chicago-house
30565,edm
10389,breakbeat
113587,world-music
37922,funk
69865,malay
659,acoustic
68680,latino
58361,industrial
16981,classical
111729,trip-hop
35203,forro
46907,happy
55172,indian
96928,samba
20898,dance
10313,breakbeat
28518,dub
87349,r-n-b
38462,garage
97454,sertanejo
4385,ambient
77749,pagode
39869,german
29785,dubstep
10396,breakbeat
44612,grunge
48877,hardcore
111157,trip-hop
20488,dance
63868,j-rock
101871,sleep
5506,anime
17760,club
50351,heavy-metal
51026,hip-hop
94138,sad
18229,comedy
111929,trip-hop
79872,piano
22097,death-metal
42746,grindcore
54208,idm
63425,j-rock
44660,grunge
60398,j-dance
13496,chicago-house
50853,heavy-metal
62779,j-pop
327,acoustic
59382,iranian
49112,hardstyle
96635,samba
67750,latin
4201,ambient
22583,death-metal
35668,forro
35101,forro
110235,trance
2172,alt-rock
39711,german
82759,power-pop
56242,indie-pop
14224,children
67877,latin
9661,brazil
107837,synth-pop
59686,iranian
109924,techno
62533,j-pop
15949,chill
60401,j-dance
47275,hard-rock
70143,mandopop
32347,electronic
45770,guitar
36897,french
81672,pop
4839,ambient
47619,hard-rock
104257,spanish
25517,disco
12389,cantopop
63578,j-rock
62537,j-pop
41681,goth
54505,idm
68822,latino
65662,k-pop
57341,indie
58901,industrial
70488,mandopop
44107,grunge
9552,brazil
65791,k-pop
95388,salsa
28312,dub
25489,disco
13244,chicago-house
17066,club
19698,country
94624,sad
40936,gospel
79361,piano
73755,minimal-techno
33259,emo
42478,grindcore
12082,cantopop
54450,idm
17614,club
10491,breakbeat
31306,electro
62474,j-pop
6611,black-metal
27990,drum-and-bass
1075,afrobeat
2086,alt-rock
50663,heavy-metal
90807,rock-n-roll
110079,trance
25373,disco
11382,british
10169,breakbeat
1013,afrobeat
62923,j-pop
24340,detroit-techno
7939,bluegrass
79423,piano
24885,detroit-techno
47346,hard-rock
93367,romance
7975,bluegrass
73264,minimal-techno
49719,hardstyle
101300,sleep
2057,alt-rock
36080,french
50999,heavy-metal
36817,french
51067,hip-hop
91604,rock
77170,pagode
93217,romance
88958,reggae
37060,funk
75167,new-age
54952,idm
23789,deep-house
10697,breakbeat
42086,grindcore
36005,french
2720,alt-rock
66477,kids
11426,british
96264,samba
101858,sleep
79415,piano
20908,dance
21176,dancehall
4095,ambient
10504,breakbeat
105466,study
21785,dancehall
101347,sleep
72220,metalcore
7275,bluegrass
54609,idm
35622,forro
95577,salsa
77638,pagode
54279,idm
35125,forro
109230,techno
7485,bluegrass
24082,detroit-techno
26704,disney
105620,study
113187,world-music
17005,club
37078,funk
86622,punk
12488,cantopop
41282,goth
75120,new-age
41744,goth
87986,r-n-b
66268,kids
58679,industrial
78219,party
69544,malay
45892,guitar
63974,j-rock
9765,brazil
92966,rockabilly
69157,malay
23384,deep-house
75264,new-age
1999,afrobeat
14578,children
99186,singer-songwriter
106919,swedish
7126,bluegrass
10182,breakbeat
50147,heavy-metal
9910,brazil
9037,brazil
73917,minimal-techno
21814,dancehall
96310,samba
79569,piano
28580,dub
56817,indie-pop
27731,drum-and-bass
101659,sleep
54989,idm
16618,classical
113949,world-music
80196,pop-film
65650,k-pop
35711,forro
60560,j-dance
27264,drum-and-bass
83474,progressive-house
43940,groove
17210,club
61557,j-idol
70571,mandopop
93136,romance
20406,dance
41043,goth
61300,j-idol
12054,cantopop
36536,french
61136,j-idol
50253,heavy-metal
16707,classical
105982,study
27761,drum-and-bass
91820,rock
2536,alt-rock
26858,disney
77349,pagode
46190,happy
5873,anime
5420,anime
15828,chill
104543,spanish
76686,opera
46399,happy
24880,detroit-techno
108675,tango
52884,honky-tonk
3101,alternative
19053,country
95523,salsa
72339,metalcore
39809,german
52133,honky-tonk
95572,salsa
46697,happy
72113,metalcore
45930,guitar
1107,afrobeat
97109,sertanejo
32972,electronic
50644,heavy-metal
59072,iranian
32214,electronic
56983,indie-pop
113230,world-music
52089,honky-tonk
10589,breakbeat
108644,tango
73666,minimal-techno
4880,ambient
54285,idm
82423,power-pop
81241,pop
70087,mandopop
98406,show-tunes
17689,club
90620,rock-n-roll
98867,show-tunes
113901,world-music
56938,indie-pop
25743,disco
72180,metalcore
41296,goth
25593,disco
24115,detroit-techno
80351,pop-film
82063,power-pop
73068,minimal-techno
70435,mandopop
16279,classical
33797,emo
94917,sad
97784,sertanejo
26245,disney
65755,k-pop
16214,classical
11815,british
92654,rockabilly
105325,study
111705,trip-hop
58735,industrial
93534,romance
51520,hip-hop
36344,french
81150,pop
95849,salsa
110904,trance
5972,anime
50739,heavy-metal
73961,minimal-techno
37546,funk
30829,edm
79813,piano
48469,hardcore
6584,black-metal
12631,cantopop
54697,idm
104621,spanish
65003,k-pop
111513,trip-hop
7542,bluegrass
14617,children
1983,afrobeat
50759,heavy-metal
10547,breakbeat
26833,disney
17113,club
23761,deep-house
50670,heavy-metal
38467,garage
33563,emo
76173,opera
32602,electronic
78721,party
80263,pop-film
69519,malay
70062,mandopop
110202,trance
60257,j-dance
113836,world-music
59354,iranian
31100,electro
69485,malay
107583,synth-pop
21717,dancehall
83511,progressive-house
56252,indie-pop
54336,idm
65713,k-pop
13005,chicago-house
78596,party
69633,malay
76264,opera
41294,goth
39343,german
47729,hard-rock
11312,british
59862,iranian
50061,heavy-metal
50577,heavy-metal
34998,folk
51303,hip-hop
82981,power-pop
32170,electronic
81207,pop
47823,hard-rock
16036,classical
66512,kids
59090,iranian
24384,detroit-techno
11386,british
36434,french
113542,world-music
62735,j-pop
10312,breakbeat
104202,spanish
91870,rock
6229,black-metal
32807,electronic
47250,hard-rock
90175,rock-n-roll
105417,study
96742,samba
13269,chicago-house
84985,psych-rock
14931,children
17849,club
8724,blues
58572,industrial
107807,synth-pop
69288,malay
23680,deep-house
62286,j-pop
42872,grindcore
6950,black-metal
31348,electro
70581,mandopop
32491,electronic
61575,j-idol
112420,turkish
4848,ambient
109016,techno
100599,ska
95688,salsa
30983,edm
23757,deep-house
33783,emo
22612,death-metal
7025,bluegrass
24947,detroit-techno
9044,brazil
29796,dubstep
10817,breakbeat
72223,metalcore
17612,club
31514,electro
101926,sleep
58231,industrial
46183,happy
113941,world-music
23344,deep-house
92852,rockabilly
95275,salsa
94316,sad
16713,classical
11848,british
32539,electronic
112269,turkish
72412,metalcore
78435,party
75671,new-age
11663,british
4487,ambient
59878,iranian
47861,hard-rock
76169,opera
43737,groove
28671,dub
34608,folk
4057,ambient
14418,children
63911,j-rock
24915,detroit-techno
59930,iranian
45745,guitar
20522,dance
55472,indian
9891,brazil
75927,new-age
65932,k-pop
55898,indian
77604,pagode
18957,comedy
84730,psych-rock
16407,classical
112464,turkish
10825,breakbeat
6476,black-metal
9103,brazil
24717,detroit-techno
999,acoustic
85357,punk-rock
21605,dancehall
12119,cantopop
84010,psych-rock
27967,drum-and-bass
58279,industrial
40577,gospel
79707,piano
5218,anime
93742,romance
98747,show-tunes
40502,gospel
35573,forro
69030,malay
42184,grindcore
42527,grindcore
28731,dub
79808,piano
76350,opera
52253,honky-tonk
6354,black-metal
42501,grindcore
23969,deep-house
11553,british
67067,latin
16352,classical
7829,bluegrass
86468,punk
100754,ska
43792,groove
48950,hardcore
36123,french
65339,k-pop
74650,mpb
105247,study
3977,alternative
12753,cantopop
41217,goth
95344,salsa
78611,party
9934,brazil
43831,groove
75486,new-age
37817,funk
52543,honky-tonk
90637,rock-n-roll
24516,detroit-techno
3814,alternative
108476,tango
6483,black-metal
77290,pagode
48652,hardcore
109431,techno
39983,german
45827,guitar
52882,honky-tonk
32542,electronic
108998,tango
40392,gospel
94999,sad
36681,french
27120,drum-and-bass
74355,mpb
33606,emo
34204,folk
67664,latin
98887,show-tunes
44303,grunge
77210,pagode
22955,death-metal
80912,pop-film
43335,groove
112831,turkish
95514,salsa
82559,power-pop
34415,folk
28856,dub
108142,tango
56057,indie-pop
113681,world-music
113586,world-music
50438,heavy-metal
62730,j-pop
90239,rock-n-roll
18779,comedy
14716,children
5356,anime
51083,hip-hop
1457,afrobeat
61567,j-idol
11627,british
19325,country
83901,progressive-house
21755,dancehall
32071,electronic
108002,tango
42221,grindcore
52810,honky-tonk
111077,trip-hop
6986,black-metal
85188,punk-rock
20551,dance
16432,classical
54448,idm
109110,techno
83766,progressive-house
46665,happy
63627,j-rock
29751,dubstep
75236,new-age
4109,ambient
65703,k-pop
12365,cantopop
34534,folk
83777,progressive-house
16064,classical
111415,trip-hop
28458,dub
69169,malay
208,acoustic
105083,study
42194,grindcore
6356,black-metal
95764,salsa
45722,guitar
95695,salsa
95014,salsa
4079,ambient
75310,new-age
9854,brazil
12460,cantopop
12041,cantopop
4100,ambient
87668,r-n-b
108124,tango
72945,metalcore
84315,psych-rock
58544,industrial
80519,pop-film
27506,drum-and-bass
42650,grindcore
27885,drum-and-bass
49716,hardstyle
39419,german
62337,j-pop
103004,soul
109481,techno
77930,pagode
100650,ska
66727,kids
35433,forro
55483,indian
24949,detroit-techno
101122,sleep
94310,sad
81619,pop
107375,synth-pop
64920,jazz
65152,k-pop
98197,show-tunes
97821,sertanejo
93526,romance
76884,opera
840,acoustic
5084,anime
970,acoustic
66878,kids
15965,chill
20018,dance
45746,guitar
24419,detroit-techno
80898,pop-film
19675,country
60717,j-dance
12045,cantopop
24541,detroit-techno
4310,ambient
49031,hardstyle
7793,bluegrass
58360,industrial
45022,guitar
50319,heavy-metal
6342,black-metal
60515,j-dance
70265,mandopop
104149,spanish
108180,tango
4327,ambient
93682,romance
26731,disney
1495,afrobeat
12792,cantopop
13252,chicago-house
27346,drum-and-bass
30687,edm
50592,heavy-metal
42394,grindcore
42558,grindcore
7708,bluegrass
24591,detroit-techno
108064,tango
19808,country
957,acoustic
86256,punk
87707,r-n-b
101937,sleep
61561,j-idol
81460,pop
74961,mpb
20749,dance
109102,techno
32556,electronic
48739,hardcore
42504,grindcore
32419,electronic
32710,electronic
67246,latin
1512,afrobeat
14201,children
106473,swedish
35397,forro
34314,folk
22447,death-metal
9724,brazil
66665,kids
46915,happy
107422,synth-pop
12289,cantopop
12253,cantopop
97815,sertanejo
12864,cantopop
27492,drum-and-bass
10751,breakbeat
113621,world-music
7232,bluegrass
95462,salsa
2978,alt-rock
9977,brazil
72427,metalcore
59532,iranian
52400,honky-tonk
77295,pagode
78414,party
18482,comedy
108637,tango
111877,trip-hop
87048,r-n-b
2678,alt-rock
59743,iranian
58167,industrial
31747,electro
22099,death-metal
32468,electronic
70154,mandopop
67389,latin
89929,reggaeton
53909,house
113280,world-music
4350,ambient
104761,spanish
61544,j-idol
70701,mandopop
44941,grunge
75178,new-age
52100,honky-tonk
86982,punk
95537,salsa
41694,goth
49860,hardstyle
13454,chicago-house
50311,heavy-metal
35406,forro
85565,punk-rock
16321,classical
17792,club
18394,comedy
47734,hard-rock
40412,gospel
72782,metalcore
112541,turkish
16585,classical
55923,indian
57998,indie
21178,dancehall
21207,dancehall
1158,afrobeat
309,acoustic
8609,blues
27541,drum-and-bass
9908,brazil
92859,rockabilly
61041,j-idol
92752,rockabilly
86825,punk
42916,grindcore
22553,death-metal
49122,hardstyle
63395,j-rock
19376,country
22076,death-metal
74864,mpb
3972,alternative
74738,mpb
39660,german
105235,study
79997,piano
508,acoustic
51370,hip-hop
95568,salsa
40254,gospel
76251,opera
41563,goth
46951,happy
101943,sleep
98457,show-tunes
5480,anime
1981,afrobeat
28402,dub
32353,electronic
4825,ambient
25741,disco
13545,chicago-house
47710,hard-rock
5074,anime
14530,children
94601,sad
73052,minimal-techno
39360,german
1638,afrobeat
26819,disney
73968,minimal-techno
23575,deep-house
70512,mandopop
111309,trip-hop
75426,new-age
105630,study
101914,sleep
7426,bluegrass
19938,country
79818,piano
113943,world-music
1265,afrobeat
74677,mpb
25780,disco
82912,power-pop
41632,goth
47660,hard-rock
42215,grindcore
58842,industrial
101275,sleep
66008,kids
85451,punk-rock
5906,anime
65508,k-pop
11789,british
85599,punk-rock
75656,new-age
24617,detroit-techno
85498,punk-rock
76295,opera
105747,study
50883,heavy-metal
83503,progressive-house
61428,j-idol
104735,spanish
47977,hard-rock
17524,club
62889,j-pop
35181,forro
10250,breakbeat
85265,punk-rock
1702,afrobeat
59377,iranian
77691,pagode
107389,synth-pop
64444,jazz
34372,folk
94364,sad
80857,pop-film
12073,cantopop
77722,pagode
12742,cantopop
60838,j-dance
108392,tango
76091,opera
15908,chill
44440,grunge
104634,spanish
54782,idm
50493,heavy-metal
58392,industrial
39923,german
110838,trance
16596,classical
64543,jazz
1704,afrobeat
25620,disco
59578,iranian
55649,indian
35314,forro
12977,cantopop
3516,alternative
98694,show-tunes
5740,anime
113435,world-music
84805,psych-rock
70884,mandopop
31673,electro
101324,sleep
65634,k-pop
27662,drum-and-bass
37548,funk
76235,opera
55409,indian
49944,hardstyle
69127,malay
51787,hip-hop
33106,emo
112834,turkish
49613,hardstyle
103681,soul
59858,iranian
41085,goth
18542,comedy
14453,children
112924,turkish
43787,groove
6107,black-metal
24284,detroit-techno
11417,british
90739,rock-n-roll
105599,study
19039,country
28945,dub
65565,k-pop
2145,alt-rock
9065,brazil
57472,indie
108831,tango
113707,world-music
42617,grindcore
13473,chicago-house
1482,afrobeat
113718,world-music
11042,british
82443,power-pop
108895,tango
83350,progressive-house
61825,j-idol
67591,latin
104409,spanish
84868,psych-rock
22066,death-metal
108197,tango
88718,reggae
2597,alt-rock
26357,disney
33996,emo
40475,gospel
111224,trip-hop
50308,heavy-metal
107199,synth-pop
6992,black-metal
25498,disco
103945,soul
38648,garage
44503,grunge
44762,grunge
52195,honky-tonk
11044,british
93465,romance
60258,j-dance
60395,j-dance
55164,indian
27681,drum-and-bass
87829,r-n-b
100512,ska
33519,emo
516,acoustic
41349,goth
38901,garage
39600,german
52071,honky-tonk
90413,rock-n-roll
59161,iranian
20474,dance
73302,minimal-techno
42628,grindcore
41327,goth
54726,idm
49883,hardstyle
54494,idm
68652,latino
83881,progressive-house
79564,piano
21393,dancehall
1534,afrobeat
85470,punk-rock
28646,dub
51409,hip-hop
104392,spanish
22165,death-metal
35969,forro
96807,samba
76780,opera
73737,minimal-techno
79695,piano
28225,dub
82154,power-pop
20303,dance
80785,pop-film
107239,synth-pop
50940,heavy-metal
24742,detroit-techno
12349,cantopop
76400,opera
32522,electronic
80641,pop-film
104785,spanish
106346,swedish
11888,british
10856,breakbeat
7710,bluegrass
106225,swedish
979,acoustic
27041,drum-and-bass
100857,ska
50428,heavy-metal
103868,soul
41862,goth
6283,black-metal
49279,hardstyle
44971,grunge
9620,brazil
14513,children
56832,indie-pop
111058,trip-hop
43008,groove
92607,rockabilly
79281,piano
38407,garage
28656,dub
43610,groove
18247,comedy
17576,club
85440,punk-rock
18410,comedy
75823,new-age
28770,dub
62633,j-pop
61929,j-idol
95988,salsa
75860,new-age
97028,sertanejo
28438,dub
111371,trip-hop
38997,garage
75842,new-age
73800,minimal-techno
19550,country
48413,hardcore
77775,pagode
38984,garage
83269,progressive-house
75410,new-age
93728,romance
42629,grindcore
41883,goth
23515,deep-house
15577,chill
83231,progressive-house
19476,country
45268,guitar
17549,club
68810,latino
66743,kids
51516,hip-hop
83934,progressive-house
32330,electronic
49330,hardstyle
105095,study
33191,emo
104896,spanish
103889,soul
9725,brazil
10666,breakbeat
19838,country
73840,minimal-techno
82111,power-pop
49413,hardstyle
523,acoustic
52249,honky-tonk
113953,world-music
113466,world-music
101566,sleep
51816,hip-hop
28668,dub
5825,anime
70556,mandopop
6948,black-metal
50483,heavy-metal
104741,spanish
75187,new-age
110777,trance
33365,emo
62975,j-pop
30755,edm
38060,garage
52538,honky-tonk
98763,show-tunes
106751,swedish
98595,show-tunes
2520,alt-rock
5866,anime
10214,breakbeat
22594,death-metal
111656,trip-hop
24503,detroit-techno
70500,mandopop
5599,anime
38597,garage
108196,tango
112368,turkish
65942,k-pop
76461,opera
7633,bluegrass
13685,chicago-house
61474,j-idol
103151,soul
98002,show-tunes
5738,anime
28819,dub
80564,pop-film
17229,club
111774,trip-hop
16697,classical
96268,samba
7545,bluegrass
47624,hard-rock
7125,bluegrass
11277,british
48534,hardcore
12503,cantopop
54532,idm
47407,hard-rock
65314,k-pop
21516,dancehall
97943,sertanejo
23895,deep-house
8753,blues
11640,british
10777,breakbeat
21697,dancehall
70774,mandopop
5647,anime
101542,sleep
18872,comedy
503,acoustic
83785,progressive-house
6785,black-metal
68774,latino
41856,goth
27436,drum-and-bass
22601,death-metal
95753,salsa
79832,piano
11869,british
8867,blues
67516,latin
104739,spanish
1984,afrobeat
42405,grindcore
113863,world-music
72724,metalcore
54920,idm
32825,electronic
54999,idm
68821,latino
50583,heavy-metal
104133,spanish
24703,detroit-techno
63920,j-rock
109777,techno
27028,drum-and-bass
46695,happy
95929,salsa
69650,malay
36823,french
144,acoustic
21709,dancehall
113720,world-music
66438,kids
104263,spanish
72101,metalcore
78480,party
67217,latin
113272,world-music
103902,soul
73299,minimal-techno
56843,indie-pop
70616,mandopop
60425,j-dance
13100,chicago-house
560,acoustic
12221,cantopop
1430,afrobeat
51695,hip-hop
78616,party
78007,party
5978,anime
106073,swedish
25597,disco
90584,rock-n-roll
67164,latin
97192,sertanejo
4211,ambient
66092,kids
78030,party
108840,tango
99705,singer-songwriter
54626,idm
22777,death-metal
51772,hip-hop
41162,goth
98754,show-tunes
28382,dub
6749,black-metal
7893,bluegrass
11838,british
67821,latin
112002,turkish
9698,brazil
48170,hardcore
17095,club
2703,alt-rock
22230,death-metal
108422,tango
1020,afrobeat
46432,happy
35167,forro
73833,minimal-techno
61914,j-idol
49062,hardstyle
59186,iranian
27247,drum-and-bass
34322,folk
73564,minimal-techno
59554,iranian
44909,grunge
15834,chill
52376,honky-tonk
38089,garage
22781,death-metal
45359,guitar
111227,trip-hop
52316,honky-tonk
84495,psych-rock
20717,dance
100685,ska
80016,pop-film
105532,study
21407,dancehall
15637,chill
36757,french
37219,funk
23839,deep-house
84508,psych-rock
